case,grader,radius_um,cc_id,area_px,area_mm2
abe 20250409,g1,10,526,5,0.00022222222
abe 20250409,g1,10,528,1,4.4444444e-05
abe 20250409,g2,10,1,11,0.00048888889
abe 20250409,g2,10,2,6,0.00026666667
abe 20250409,g2,10,3,28,0.0012444444
abe 20250409,g2,10,6,11,0.00048888889
abe 20250409,g2,10,9,7,0.00031111111
abe 20250409,g2,10,17,2,8.8888889e-05
abe 20250409,g2,10,18,4,0.00017777778
abe 20250409,g2,10,21,2,8.8888889e-05
abe 20250409,g2,10,22,12,0.00053333333
abe 20250409,g2,10,25,6,0.00026666667
abe 20250409,g2,10,28,2,8.8888889e-05
abe 20250409,g2,10,29,34,0.0015111111
abe 20250409,g2,10,30,12,0.00053333333
abe 20250409,g2,10,32,1,4.4444444e-05
abe 20250409,g2,10,33,9,0.0004
abe 20250409,g2,10,35,6,0.00026666667
abe 20250409,g2,10,38,3,0.00013333333
abe 20250409,g2,10,40,7,0.00031111111
abe 20250409,g2,10,44,5,0.00022222222
abe 20250409,g2,10,45,6,0.00026666667
abe 20250409,g2,10,47,5,0.00022222222
abe 20250409,g2,10,50,4,0.00017777778
abe 20250409,g2,10,54,9,0.0004
abe 20250409,g2,10,55,1,4.4444444e-05
abe 20250409,g2,10,57,6,0.00026666667
abe 20250409,g2,10,64,26,0.0011555556
abe 20250409,g2,10,69,4,0.00017777778
abe 20250409,g2,10,87,4,0.00017777778
abe 20250409,g2,10,88,5,0.00022222222
abe 20250409,g2,10,89,6,0.00026666667
abe 20250409,g2,10,90,5,0.00022222222
abe 20250409,g2,10,93,9,0.0004
abe 20250409,g2,10,98,1,4.4444444e-05
abe 20250409,g2,10,100,9,0.0004
abe 20250409,g2,10,107,5,0.00022222222
abe 20250409,g2,10,109,15,0.00066666667
abe 20250409,g2,10,119,6,0.00026666667
abe 20250409,g2,10,130,1,4.4444444e-05
abe 20250409,g2,10,133,8,0.00035555556
abe 20250409,g2,10,142,7,0.00031111111
abe 20250409,g2,10,143,2,8.8888889e-05
abe 20250409,g2,10,146,11,0.00048888889
abe 20250409,g2,10,148,3,0.00013333333
abe 20250409,g2,10,153,6,0.00026666667
abe 20250409,g2,10,158,8,0.00035555556
abe 20250409,g2,10,159,3,0.00013333333
abe 20250409,g2,10,163,9,0.0004
abe 20250409,g2,10,164,5,0.00022222222
abe 20250409,g2,10,165,2,8.8888889e-05
abe 20250409,g2,10,177,1,4.4444444e-05
abe 20250409,g2,10,178,7,0.00031111111
abe 20250409,g2,10,193,3,0.00013333333
abe 20250409,g2,10,197,3,0.00013333333
abe 20250409,g2,10,198,8,0.00035555556
abe 20250409,g2,10,201,3,0.00013333333
abe 20250409,g2,10,206,11,0.00048888889
abe 20250409,g2,10,222,13,0.00057777778
abe 20250409,g2,10,224,9,0.0004
abe 20250409,g2,10,240,3,0.00013333333
abe 20250409,g2,10,258,3,0.00013333333
abe 20250409,g2,10,259,3,0.00013333333
abe 20250409,g2,10,268,12,0.00053333333
abe 20250409,g2,10,269,1,4.4444444e-05
abe 20250409,g2,10,274,1,4.4444444e-05
