metric,n,k,icc_2_1,ci_low,ci_high,source,var_case,var_observer,var_error,icc_vc,delta_vs_original,delta_vs_C,spearman_YY,spearman_Inoue,spearman_Osada,spearman_mean
caliber_M_resid70_dil30,46,3,0.5009044077427115,0.27,0.68,pingouin,170.8650637174197,47.96231621644421,122.28573681312255,0.5009044077427116,0.06697626025567183,-0.2639267606432061,0.0923219241443108,0.09626888683317915,-0.17187789084181312,0.005570973378558941
caliber_M_resid55_dil25_skel20,46,3,0.4868101976374941,0.24,0.68,pingouin,128.8381302645034,43.48340734719172,92.33629184577944,0.4868101976374941,0.05288205015045444,-0.27802097074842347,0.10181930311440024,0.150786308973173,-0.06444650015417822,0.06271970397779834
caliber_M_cv50_resid50,46,3,0.47518808322067635,0.23,0.67,pingouin,245.80865731403233,86.66370101020927,184.81472439891496,0.47518808322067657,0.04125993573363668,-0.28964308516524123,0.1250231305386158,-0.09097637767363509,-0.1312981806968856,-0.03241714261063496
caliber_W_winsor_orig,46,3,0.4460775958317214,0.27,0.62,pingouin,438.5565561562307,47.11226816488877,497.4707914189015,0.4460775958317212,0.012149448344681735,-0.3187535725541962,0.99935224163841,0.99996916387856,0.9996915959834134,0.9996710005001278
Caliber Uniformity Score,46,3,0.4339281474870397,0.26,0.61,pingouin,265.20707716248944,33.2658190075926,312.7045042782501,0.4339281474870398,0.0,-0.3309030208988779,1.0,1.0,1.0,1.0
caliber_M_resid80_dil20,46,3,0.43065316772825263,0.19,0.63,pingouin,186.103959700045,85.32154153895823,160.71798137315494,0.43065316772825274,-0.0032749797587870444,-0.33417800065766495,0.1801418439716312,0.1366019118100524,-0.1009559050262103,0.07192928358515777
caliber_R_resid_soft,46,3,0.3703927426809738,0.12,0.59,pingouin,198.75703747231077,141.29395141721974,196.56059813474323,0.3703927426809738,-0.0635354048060659,-0.3944384257049438,0.35146469318532225,0.1560900400863398,0.008448967005858773,0.17200123342584028
caliber_R_resid_cv,46,3,0.3547780734961116,0.11,0.57,pingouin,263.6927635158684,191.64101505871236,287.9273844317583,0.3547780734961117,-0.07915007399092805,-0.41005309488980596,0.34953432696711195,0.15649867850415514,0.004565083499091182,0.17019936299011942
caliber_Q_rawskel_agreement,46,3,0.33946846652032153,0.16,0.53,pingouin,276.5215960865928,4.541428415348131,533.5092358350564,0.33946846652032175,-0.09445968096671814,-0.42536270186559605,0.17935117833543546,0.2556446759491061,-0.06428131089260825,0.12357151446397778
caliber_L_inv_local,46,3,0.23162567534102338,0.06,0.42,pingouin,183.51766660904832,57.35445860837642,551.4306552876058,0.23162567534102338,-0.2023024721460163,-0.5332054930448942,-0.08160118485574186,-0.07778669041929033,-0.037446022756058746,-0.06561129934369699
